Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
nc	Default	2/9/2011	12:56 PM	0.25	0.006	0.029	0.22	0.01	40.00	230	0.440	0.020
60	Default	2/9/2011	12:57 PM	456.93	11.423	5.268	2.17	2.21	40.00	230	5.170	0.001
42	Default	2/9/2011	12:58 PM	297.07	7.427	3.412	2.18	1.96	40.00	230	3.793	-0.019
noID	Default	2/9/2011	12:59 PM	426.62	10.666	4.911	2.17	1.98	40.00	230	5.383	-0.007
44	Default	2/9/2011	1:00 PM	629.07	15.727	7.197	2.19	2.20	40.00	230	7.159	0.174
22	Default	2/9/2011	1:01 PM	585.71	14.643	6.691	2.19	2.25	40.00	230	6.521	0.184
24	Default	2/9/2011	1:01 PM	639.17	15.979	7.312	2.19	2.06	40.00	230	7.754	0.176
48	Default	2/9/2011	1:02 PM	670.51	16.763	7.684	2.18	2.33	40.00	230	7.204	0.122
61	Default	2/9/2011	1:02 PM	582.01	14.550	6.693	2.17	2.30	40.00	230	6.338	0.199
63	Default	2/9/2011	1:03 PM	590.04	14.751	6.747	2.19	2.13	40.00	230	6.940	0.161
