# Experiment File Name : Alger-SA-18137_pl2.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2023-05-08 09:38:36 AM
# Instrument Type : QuantStudio 6 Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","112","DWV","1.319","Amp","UNKNOWN","18.535","18.509","0.037","59340.77","60349.113","1426.017","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","14.0","false",
"A2","133","DWV","1.383","Amp","UNKNOWN","16.600","16.986","0.546","206776.95","166203.98","57378.836","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","12.0","false",
"A3","129","DWV","1.393","Amp","UNKNOWN","21.053","21.588","0.758","11701.232","8782.16","4128.193","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","16.0","false",
"A4","142","DWV","1.4","Amp","UNKNOWN","14.364","14.938","0.813","874654.0","645723.1","323757.2","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","10.0","false",
"A5","168","DWV","1.402","Amp","UNKNOWN","15.485","16.054","0.803","424276.53","314078.62","155843.39","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","11.0","false",
"A6","134","DWV","1.391","Amp","UNKNOWN","24.454","24.95","0.701","1304.4651","996.294","435.82","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","20.0","false",
"A7","169","DWV","1.386","Amp","UNKNOWN","21.504","21.892","0.548","8745.766","7024.673","2433.991","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","17.0","false",
"A8","88","DWV","1.401","Amp","UNKNOWN","15.589","16.041","0.64","396953.34","309177.2","124134.21","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","11.0","false",
"A9","94","DWV","1.391","Amp","UNKNOWN","26.963","27.583","0.876","258.5339","187.387","100.617","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","22.0","false",
"A10","140","DWV","1.378","Amp","UNKNOWN","24.824","25.043","0.31","1027.6859","901.233","178.831","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","20.0","false",
"A11","89","DWV","1.391","Amp","UNKNOWN","20.628","20.763","0.191","15385.052","14157.072","1736.626","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","16.0","false",
"A12","gblock","DWV","1.405","Amp","UNKNOWN","13.107","13.107","-","1967157.0","1967157.0","-","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","9.0","false",
"B1","112","DWV","1.421","Amp","UNKNOWN","18.483","18.509","0.037","61357.46","60349.113","1426.017","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","14.0","false",
"B2","133","DWV","1.421","Amp","UNKNOWN","17.372","16.986","0.546","125631.02","166203.98","57378.836","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","13.0","false",
"B3","129","DWV","1.425","Amp","UNKNOWN","22.124","21.588","0.758","5863.087","8782.16","4128.193","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","18.0","false",
"B4","142","DWV","1.425","Amp","UNKNOWN","15.513","14.938","0.813","416792.22","645723.1","323757.2","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","11.0","false",
"B5","168","DWV","1.419","Amp","UNKNOWN","16.622","16.054","0.803","203880.69","314078.62","155843.39","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","12.0","false",
"B6","134","DWV","1.405","Amp","UNKNOWN","25.446","24.95","0.701","688.1227","996.294","435.82","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","21.0","false",
"B7","169","DWV","1.402","Amp","UNKNOWN","22.279","21.892","0.548","5303.5815","7024.673","2433.991","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","18.0","false",
"B8","88","DWV","1.41","Amp","UNKNOWN","16.494","16.041","0.64","221401.06","309177.2","124134.21","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","12.0","false",
"B9","94","DWV","1.399","Amp","UNKNOWN","28.203","27.583","0.876","116.240425","187.387","100.617","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","24.0","false",
"B10","140","DWV","1.389","Amp","UNKNOWN","25.262","25.043","0.31","774.7808","901.233","178.831","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","21.0","false",
"B11","89","DWV","1.399","Amp","UNKNOWN","20.898","20.763","0.191","12929.092","14157.072","1736.626","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","17.0","false",
"B12","ntc","DWV","1.089","No Amp","UNKNOWN","37.498","37.498","-","0.28945413","0.289","-","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","33.0","false",
"C1","112","ACTIN","1.528","Amp","UNKNOWN","15.987","16.112","0.177","484109.12","448108.53","50912.516","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"C2","133","ACTIN","1.519","Amp","UNKNOWN","15.911","16.047","0.192","508376.3","467562.3","57719.703","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"C3","129","ACTIN","1.528","Amp","UNKNOWN","15.637","15.844","0.292","606595.8","535632.44","100357.37","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","9.0","false",
"C4","142","ACTIN","1.531","Amp","UNKNOWN","15.976","16.105","0.182","487606.56","450369.25","52661.52","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"C5","168","ACTIN","1.522","Amp","UNKNOWN","15.458","15.522","0.09","680845.5","654034.1","37916.97","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"C6","134","ACTIN","1.53","Amp","UNKNOWN","16.558","16.619","0.086","335222.34","322563.88","17901.754","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"C7","169","ACTIN","1.522","Amp","UNKNOWN","16.179","16.238","0.084","427974.34","412176.84","22341.076","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"C8","88","ACTIN","1.533","Amp","UNKNOWN","16.007","16.12","0.159","477891.9","445669.12","45569.87","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"C9","94","ACTIN","1.515","Amp","UNKNOWN","16.115","16.219","0.147","445918.12","417971.78","39522.113","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"C10","140","ACTIN","1.521","Amp","UNKNOWN","16.175","16.098","0.109","429056.22","451417.06","31623.023","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"C11","89","ACTIN","1.515","Amp","UNKNOWN","16.171","16.245","0.104","429992.8","410477.56","27598.705","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"C12","gblock","ACTIN","1.524","Amp","UNKNOWN","16.036","16.036","-","469256.78","469256.78","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"D1","112","ACTIN","1.522","Amp","UNKNOWN","16.237","16.112","0.177","412107.94","448108.53","50912.516","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"D2","133","ACTIN","1.522","Amp","UNKNOWN","16.183","16.047","0.192","426748.3","467562.3","57719.703","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"D3","129","ACTIN","1.524","Amp","UNKNOWN","16.051","15.844","0.292","464669.06","535632.44","100357.37","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"D4","142","ACTIN","1.529","Amp","UNKNOWN","16.233","16.105","0.182","413131.9","450369.25","52661.52","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"D5","168","ACTIN","1.539","Amp","UNKNOWN","15.585","15.522","0.09","627222.75","654034.1","37916.97","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","9.0","false",
"D6","134","ACTIN","1.536","Amp","UNKNOWN","16.679","16.619","0.086","309905.44","322563.88","17901.754","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"D7","169","ACTIN","1.532","Amp","UNKNOWN","16.298","16.238","0.084","396379.3","412176.84","22341.076","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","9.0","false",
"D8","88","ACTIN","1.525","Amp","UNKNOWN","16.232","16.12","0.159","413446.38","445669.12","45569.87","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"D9","94","ACTIN","1.526","Amp","UNKNOWN","16.323","16.219","0.147","390025.44","417971.78","39522.113","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"D10","140","ACTIN","1.525","Amp","UNKNOWN","16.021","16.098","0.109","473777.94","451417.06","31623.023","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"D11","89","ACTIN","1.509","Amp","UNKNOWN","16.319","16.245","0.104","390962.34","410477.56","27598.705","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"D12","ntc","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.74934067E10","-","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","39.0","false",
"E1","176","DWV","1.418","Amp","UNKNOWN","16.410","16.837","0.604","233736.72","184235.1","70005.88","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","12.0","false",
"E2","93","DWV","1.27","Amp","UNKNOWN","30.156","30.346","0.269","32.967262","29.384","5.067","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","26.0","false",
"E3","114","DWV","1.364","Amp","UNKNOWN","26.870","27.376","0.716","274.61035","208.732","93.166","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","23.0","false",
"E4","180","DWV","1.391","Amp","UNKNOWN","17.530","17.877","0.49","113455.21","93021.336","28897.865","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","13.0","false",
"E5","131","DWV","1.403","Amp","UNKNOWN","30.622","31.156","0.754","24.41063","18.339","8.587","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","26.0","false",
"E6","166","DWV","1.39","Amp","UNKNOWN","16.530","16.717","0.265","216361.84","193161.23","32810.625","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","12.0","false",
"E7","158","DWV","1.426","Amp","UNKNOWN","17.060","17.163","0.146","153682.17","144125.48","13515.193","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","13.0","false",
"E8","c5","DWV","1.146","No Amp","UNKNOWN","36.935","36.323","0.866","0.41614765","0.667","0.354","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","32.0","false",
"E9","c6","DWV","1.385","Amp","UNKNOWN","33.167","33.167","-","4.7304063","4.73","-","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","29.0","false",
"E10","c7","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.75992238E10","-","-","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","39.0","false",
"E11","c8","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.75992238E10","-","-","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","39.0","false",
"E12","c9","DWV","1.164","No Amp","UNKNOWN","36.827","36.827","-","0.44629744","0.446","-","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","32.0","false",
"F1","176","DWV","1.398","Amp","UNKNOWN","17.264","16.837","0.604","134733.45","184235.1","70005.88","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","13.0","false",
"F2","93","DWV","1.417","Amp","UNKNOWN","30.536","30.346","0.269","25.801376","29.384","5.067","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","26.0","false",
"F3","114","DWV","1.328","Amp","UNKNOWN","27.883","27.376","0.716","142.85321","208.732","93.166","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","23.0","false",
"F4","180","DWV","1.391","Amp","UNKNOWN","18.223","17.877","0.49","72587.45","93021.336","28897.865","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","14.0","false",
"F5","131","DWV","1.322","Amp","UNKNOWN","31.689","31.156","0.754","12.266409","18.339","8.587","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","27.0","false",
"F6","166","DWV","1.422","Amp","UNKNOWN","16.904","16.717","0.265","169960.61","193161.23","32810.625","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","13.0","false",
"F7","158","DWV","1.424","Amp","UNKNOWN","17.266","17.163","0.146","134568.8","144125.48","13515.193","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","12.0","false",
"F8","c5","DWV","1.294","Amp","UNKNOWN","35.710","36.323","0.866","0.91724664","0.667","0.354","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","32.0","false",
"F9","c6","DWV","0.0","No Amp","UNKNOWN","Undetermined","33.167","-","1.75992238E10","4.73","-","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","39.0","false",
"F10","c7","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.75992238E10","-","-","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","39.0","false",
"F11","c8","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.75992238E10","-","-","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","39.0","false",
"F12","c9","DWV","0.0","No Amp","UNKNOWN","Undetermined","36.827","-","1.75992238E10","0.446","-","35.57592","0.9939175","-3.569952","90.6","true","0.1","true","3.0","39.0","false",
"G1","176","ACTIN","1.534","Amp","UNKNOWN","16.423","16.354","0.098","365507.1","382614.75","24193.896","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"G2","93","ACTIN","1.437","Amp","UNKNOWN","16.786","16.517","0.381","289271.9","349341.88","84951.78","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"G3","114","ACTIN","1.529","Amp","UNKNOWN","16.283","16.238","0.064","400240.12","412189.5","16898.979","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"G4","180","ACTIN","1.534","Amp","UNKNOWN","16.779","16.716","0.089","290586.53","302897.34","17410.096","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"G5","131","ACTIN","1.522","Amp","UNKNOWN","16.141","16.144","0.005","438558.25","437497.56","1500.073","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"G6","166","ACTIN","1.529","Amp","UNKNOWN","16.606","16.601","0.008","324836.38","325953.16","1579.388","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"G7","158","ACTIN","1.525","Amp","UNKNOWN","16.783","16.707","0.107","289972.84","304762.97","20916.396","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"G8","c5","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.74934067E10","-","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","39.0","false",
"G9","c6","ACTIN","1.503","Amp","UNKNOWN","33.775","33.775","-","5.0899997","5.09","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","27.0","false",
"G10","c7","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.74934067E10","-","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","39.0","false",
"G11","c8","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.74934067E10","-","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","39.0","false",
"G12","c9","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.74934067E10","-","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","39.0","false",
"H1","176","ACTIN","1.534","Amp","UNKNOWN","16.285","16.354","0.098","399722.44","382614.75","24193.896","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"H2","93","ACTIN","1.528","Amp","UNKNOWN","16.247","16.517","0.381","409411.84","349341.88","84951.78","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"H3","114","ACTIN","1.525","Amp","UNKNOWN","16.193","16.238","0.064","424138.9","412189.5","16898.979","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"H4","180","ACTIN","1.532","Amp","UNKNOWN","16.653","16.716","0.089","315208.12","302897.34","17410.096","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","10.0","false",
"H5","131","ACTIN","1.532","Amp","UNKNOWN","16.148","16.144","0.005","436436.84","437497.56","1500.073","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"H6","166","ACTIN","1.528","Amp","UNKNOWN","16.596","16.601","0.008","327069.97","325953.16","1579.388","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"H7","158","ACTIN","1.524","Amp","UNKNOWN","16.632","16.707","0.107","319553.1","304762.97","20916.396","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","11.0","false",
"H8","c5","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.74934067E10","-","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","39.0","false",
"H9","c6","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","33.775","-","2.74934067E10","5.09","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","39.0","false",
"H10","c7","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.74934067E10","-","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","39.0","false",
"H11","c8","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.74934067E10","-","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","39.0","false",
"H12","c9","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.74934067E10","-","-","36.29999","0.9990826","-3.57306","90.49","true","0.345","true","3.0","39.0","false",

