# Experiment File Name : Alger-SA-18138.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2023-05-08 09:38:35 AM
# Instrument Type : QuantStudio 6 Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","84","DWV","1.458","Amp","UNKNOWN","14.350","14.283","0.095","882396.1","922551.44","56788.137","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","10.0","false",
"A2","148","DWV","1.453","Amp","UNKNOWN","14.793","14.841","0.068","663251.3","643362.7","28126.82","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","10.0","false",
"A3","120","DWV","1.443","Amp","UNKNOWN","15.769","15.792","0.032","353427.53","348275.8","7285.613","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","11.0","false",
"A4","92","DWV","1.45","Amp","UNKNOWN","13.852","13.84","0.017","1216917.8","1226348.4","13336.847","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","9.0","false",
"A5","100","DWV","1.456","Amp","UNKNOWN","13.994","14.031","0.053","1110607.5","1084192.9","37355.934","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","9.0","false",
"A6","91","DWV","1.449","Amp","UNKNOWN","18.468","18.473","0.008","61987.332","61756.41","326.573","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","14.0","false",
"A7","139","DWV","1.444","Amp","UNKNOWN","23.869","23.829","0.056","1902.9698","1952.483","70.023","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","19.0","false",
"A8","181","DWV","1.452","Amp","UNKNOWN","18.042","18.065","0.033","81576.21","80369.18","1707.007","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","13.0","false",
"A9","147","DWV","1.457","Amp","UNKNOWN","11.901","11.89","0.016","4282438.0","4313260.5","43589.246","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","8.0","false",
"A10","138","DWV","1.445","Amp","UNKNOWN","14.543","14.643","0.14","779085.25","732249.25","66236.18","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","10.0","false",
"A11","149","DWV","1.428","Amp","UNKNOWN","25.029","25.001","0.039","900.50336","916.986","23.31","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","20.0","false",
"A12","gblock","DWV","1.465","Amp","UNKNOWN","Undetermined","-","-","1.75992238E10","-","-","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","3.0","false",
"B1","84","DWV","1.456","Amp","UNKNOWN","14.215","14.283","0.095","962706.7","922551.44","56788.137","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","9.0","false",
"B2","148","DWV","1.452","Amp","UNKNOWN","14.889","14.841","0.068","623474.0","643362.7","28126.82","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","10.0","false",
"B3","120","DWV","1.462","Amp","UNKNOWN","15.815","15.792","0.032","343124.12","348275.8","7285.613","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","11.0","false",
"B4","92","DWV","1.458","Amp","UNKNOWN","13.828","13.84","0.017","1235778.9","1226348.4","13336.847","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","9.0","false",
"B5","100","DWV","1.462","Amp","UNKNOWN","14.069","14.031","0.053","1057778.2","1084192.9","37355.934","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","9.0","false",
"B6","91","DWV","1.453","Amp","UNKNOWN","18.479","18.473","0.008","61525.49","61756.41","326.573","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","14.0","false",
"B7","139","DWV","1.441","Amp","UNKNOWN","23.790","23.829","0.056","2001.997","1952.483","70.023","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","19.0","false",
"B8","181","DWV","1.45","Amp","UNKNOWN","18.088","18.065","0.033","79162.14","80369.18","1707.007","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","13.0","false",
"B9","147","DWV","1.456","Amp","UNKNOWN","11.879","11.89","0.016","4344082.5","4313260.5","43589.246","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","7.0","false",
"B10","138","DWV","1.444","Amp","UNKNOWN","14.742","14.643","0.14","685413.2","732249.25","66236.18","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","10.0","false",
"B11","149","DWV","1.435","Amp","UNKNOWN","24.973","25.001","0.039","933.4684","916.986","23.31","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","20.0","false",
"B12","NTC","DWV","0.972","No Amp","NTC","38.953","-","-","-","-","-","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","34.0","false",
"C1","84","ACTIN","1.558","Amp","UNKNOWN","16.838","16.873","0.049","279794.28","273646.44","8694.351","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"C2","148","ACTIN","1.555","Amp","UNKNOWN","16.427","16.587","0.226","364730.25","330789.62","47999.31","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"C3","120","ACTIN","1.556","Amp","UNKNOWN","16.543","16.667","0.175","338440.03","313475.3","35305.457","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"C4","92","ACTIN","1.556","Amp","UNKNOWN","16.337","16.367","0.043","386535.75","379150.06","10444.939","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"C5","100","ACTIN","1.566","Amp","UNKNOWN","16.832","16.874","0.06","280836.88","273413.3","10498.503","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"C6","91","ACTIN","1.561","Amp","UNKNOWN","16.504","16.729","0.318","346989.7","303384.16","61667.527","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"C7","139","ACTIN","1.561","Amp","UNKNOWN","16.194","16.161","0.047","423769.44","432949.7","12982.849","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"C8","181","ACTIN","1.559","Amp","UNKNOWN","16.604","16.629","0.035","325352.22","320226.16","7249.386","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"C9","147","ACTIN","1.552","Amp","UNKNOWN","16.411","16.4","0.016","368419.53","371112.62","3808.596","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","11.0","false",
"C10","138","ACTIN","1.559","Amp","UNKNOWN","16.167","16.129","0.053","431300.78","441958.88","15072.822","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"C11","149","ACTIN","1.556","Amp","UNKNOWN","16.140","16.146","0.008","438785.8","437202.12","2239.654","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"C12","gblock","ACTIN","1.547","Amp","UNKNOWN","4.605","4.605","-","7.4236544E8","7.4236544E8","-","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","3.0","false",
"D1","84","ACTIN","1.556","Amp","UNKNOWN","16.908","16.873","0.049","267498.6","273646.44","8694.351","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","12.0","false",
"D2","148","ACTIN","1.557","Amp","UNKNOWN","16.746","16.587","0.226","296848.97","330789.62","47999.31","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"D3","120","ACTIN","1.545","Amp","UNKNOWN","16.791","16.667","0.175","288510.6","313475.3","35305.457","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"D4","92","ACTIN","1.557","Amp","UNKNOWN","16.397","16.367","0.043","371764.38","379150.06","10444.939","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"D5","100","ACTIN","1.567","Amp","UNKNOWN","16.917","16.874","0.06","265989.75","273413.3","10498.503","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","11.0","false",
"D6","91","ACTIN","1.559","Amp","UNKNOWN","16.953","16.729","0.318","259778.62","303384.16","61667.527","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","11.0","false",
