ID,Date ,ng/ul ,260/280 ,260/230 ,Constant ,RNA for Dilution,final vol,H2O,dil.factor,
167,4/4/23,399.28,2.11,2.34,40,5,99.8,94.82,20.0,
155,4/4/23,221.5,2.13,2.46,40,5,55.4,50.38,11.1,
170,4/4/23,596.7,2.17,2.14,40,5,149.2,144.18,29.8,
116,4/6/23,718.51,2.18,2.15,40,5,179.6,174.63,35.9,
96,4/6/23,612.52,2.18,1.07,40,5,153.1,148.13,30.6,
113,4/6/23,626.4,2.16,2.31,40,5,156.6,151.60,31.3,
135,4/7/23,373.72,2.11,1.11,40,5,93.4,88.43,18.7,
105,4/7/23,862.72,2.15,2.44,40,5,215.7,210.68,43.1,
111,4/7/23,740.18,2.15,2.11,40,5,185.0,180.05,37.0,
85,4/7/23,380.43,2.11,0.79,40,5,95.1,90.11,19.0,
98,4/7/23,664.25,2.17,2.39,40,5,166.1,161.06,33.2,
106,4/7/23,570.11,2.18,2.39,40,5,142.5,137.53,28.5,
125,4/7/23,415.72,2.09,2.36,40,5,103.9,98.93,20.8,
123,4/7/23,808.03,2.17,2.39,40,5,202.0,197.01,40.4,
118,4/7/23,747.31,2.19,1.85,40,5,186.8,181.83,37.4,
102,4/10/23,647.47,2.19,1.93,40,5,161.9,156.87,32.4,
173,4/10/23,780.15,2.19,1.9,40,5,195.0,190.04,39.0,
171,4/10/23,728.83,2.23,2.21,40,5,182.2,177.21,36.4,
110,4/10/23,566.73,2.21,1.33,40,5,141.7,136.68,28.3,
112,4/10/23,637.87,2.2,1.88,40,5,159.5,154.47,31.9,
133,4/10/23,599.53,2.21,2.19,40,5,149.9,144.88,30.0,
129,4/10/23,919.22,2.19,2.37,40,5,229.8,224.81,46.0,
142,4/10/23,611.4,2.21,1.55,40,5,152.9,147.85,30.6,
168,4/10/23,436.53,2.08,2.44,40,5,109.1,104.13,21.8,
134,4/17/23,661.44,2.17,2.28,40,5,165.4,160.36,33.1,
169,4/17/23,719.28,2.18,2.29,40,5,179.8,174.82,36.0,
88,4/17/23,705.42,2.17,2.4,40,5,176.4,171.36,35.3,
94,4/17/23,764.48,2.18,2.34,40,5,191.1,186.12,38.2,
140,4/17/23,432.67,2.08,2.29,40,5,108.2,103.17,21.6,
89,4/17/23,774.09,2.19,1.53,40,5,193.5,188.52,38.7,
176,4/17/23,759.46,2.19,2.34,40,5,189.9,184.87,38.0,
93,4/17/23,703.59,2.17,2.3,40,5,175.9,170.90,35.2,
114,4/17/23,959.03,2.18,2.1,40,5,239.8,234.76,48.0,******
180,4/18/23,749.72,2.16,2.33,40,5,187.4,182.43,37.5,
131,4/18/23,848.6,2.15,2.36,40,5,212.2,207.15,42.4,
166,4/18/23,679.68,2.18,2.35,40,5,169.9,164.92,34.0,
158,4/18/23,609.03,2.18,1.63,40,5,152.3,147.26,30.5,
84,4/18/23,659.25,2.17,2.32,40,5,164.8,159.81,33.0,
148,4/18/23,631.64,2.19,1.7,40,5,157.9,152.91,31.6,
120,4/18/23,694.66,2.18,2.08,40,5,173.7,168.67,34.7,
92,4/18/23,739.94,2.16,1.99,40,5,185.0,179.99,37.0,
100,4/18/23,711.22,2.18,2.1,40,5,177.8,172.81,35.6,
91,4/18/23,763.69,2.17,2.34,40,5,190.9,185.92,38.2,
139,4/18/23,392.96,2.1,1.77,40,5,98.2,93.24,19.6,
181,4/18/23,672.48,2.17,1.52,40,5,168.1,163.12,33.6,
147,4/18/23,597.02,2.17,2.24,40,5,149.3,144.26,29.9,
138,4/18/23,622.77,2.18,2.27,40,5,155.7,150.69,31.1,
149,4/18/23,423.91,2.1,2.27,40,5,106.0,100.98,21.2,
90,4/18/23,642.99,2.17,1.86,40,5,160.7,155.75,32.1,
174,4/18/23,605.24,2.16,2.23,40,5,151.3,146.31,30.3,
101,4/18/23,657.45,2.17,2.22,40,5,164.4,159.36,32.9,
107,4/18/23,670.22,2.17,2.2,40,5,167.6,162.56,33.5,
151,4/18/23,679.14,2.17,2.19,40,5,169.8,164.79,34.0,
128,4/18/23,707.59,2.17,1.85,40,5,176.9,171.90,35.4,
161,4/18/23,673.12,2.17,1.72,40,5,168.3,163.28,33.7,
86,4/18/23,627.84,2.15,2.14,40,5,157.0,151.96,31.4,
126,4/18/23,667.28,2.17,1.77,40,5,166.8,161.82,33.4,
162,4/18/23,609.78,2.18,1.87,40,5,152.4,147.45,30.5,
153,4/18/23,680.77,2.17,1.96,40,5,170.2,165.19,34.0,
