Plate,Sample ID,# of Bees (RNA),# of Mites,# of Bees,# of Mites,% Infestation,Concentration (µg),RNA vol,Water vol,Equalization (µg),RPS5 Cq,RPS5 SD,,DWV-A Cq,DWV-A SD,Log10Copies,lab_ID,yard,Copies/uL,Copies/uL DWV-A,,DWV-B Cq,DWV-B SD,Log10Copies,Copies/uL,Copies/uL DWV-B,,BQCV Cq,BQCV SD,Log10Copies,Copies/uL,Copies/uL BQCV,,IAPV Cq,IAPV SD,Log10Copies,Copies/uL,Copies/uL IAPV,,SBV Cq,SBV SD,Log10Copies,Copies/uL,Copies/uL SBV,,CBPV Cq,CBPV SD,Log10Copies,Copies/uL,Copies/uL CBPV,,LSV Cq,LSV SD,Log10Copies,Copies/uL,Copies/uL LSV
1,A1,50,0,9,0,0,877.7,5.7,94.3,50,17.5,0.033,,28.6,0.003,2.063,,,115.565,116,,22.9,0.173,5.304,201471.756,201472,,27.5,0.202,3.835,6841.73,6842,,33.5,0,1.482,30.355,0,,26.1,0.512,3.675,4733.647,4734,,32.8,0.276,0.708,5.104,0,,11.6,0.416,8.400409011,251425319.9,251425320
,A2,50,1,9,0,1.695,1237.6,4,96,50.9,18.1,0.13,,26.3,0.187,2.665,,,462.432,462,,18.6,0.303,6.538,3454861.31,3454861,,18.8,0.071,6.516,3282954.863,3282955,,32.1,1.368,1.866,73.411,0,,34.3,0,1.175,14.962,0,,40,0,-1.496,0.032,0,,15.6,0.093,7.231198298,17029358.86,17029359
,A3,50,1,8,0,1.724,1479.2,3.4,96.6,49.7,18.1,0.294,,24.3,0.164,3.173,,,1488.308,1488,,18,0.115,6.711,5140790.822,5140791,,23.6,0.26,5.044,110586.561,110587,,35.6,0.902,0.895,7.856,0,,36,0.52,0.678,4.762,0,,33.5,0,0.493,3.112,0,,15.2,0.321,7.363202246,23078216.66,23078217
,A4,50,5,12,2,11.29,705.6,7.1,92.9,49.9,18.1,0.161,,13.5,0.064,5.998,,,994702.153,994702,,10.1,0.486,9.002,1003580366.477,1003580366,,15.2,0.276,7.624,42090697.553,42090698,,34.6,1.228,1.172,14.872,0,,40,0,-0.544,0.286,0,,33.1,0,0.628,4.245,0,,33.9,0.668,1.942943922,87.68875871,0
,A5,50,0,8,0,0,737.1,6.8,93.2,50,17.8,0.181,,21.2,0.056,3.981,,,9562.676,9563,,23.5,0.43,5.133,135691.011,135691,,25.1,0.328,4.583,38290.111,38290,,34.4,0.658,1.225,16.769,0,,40,0,-0.544,0.286,0,,40,0,-1.496,0.032,0,,32.6,0,2.324148291,210.9348268,0
,A6,50,7,13,2,14.286,810.2,6.2,93.8,49.8,17.9,0.102,,15.5,0.151,5.475,,,298429.868,298430,,11.2,0.469,8.699,500510861.668,500510862,,23.9,0.124,4.949,88948.92,88949,,33.3,0.72,1.529,33.785,0,,24.5,0.175,4.16,14470.012,14470,,34,0,0.355,2.263,0,,14.7,0.046,7.496669862,31381222.77,31381223
,A7,50,2,9,3,8.475,2041.4,2.4,97.6,49.8,17.7,0.134,,14.8,0.021,5.651,,,448174.296,448174,,10.6,0.346,8.87,742132298.244,742132298,,16.5,0.168,7.226,16813903.24,16813903,,33.9,1.68,1.355,22.661,0,,29.9,0.295,2.513,325.829,326,,34.2,0,0.285,1.928,0,,35.1,0,1.603412154,40.12473285,0
,A8,50,12,11,1,21.311,2550.5,2,98,50.7,17.7,0.157,,24.5,0.095,3.127,,,1340.773,1341,,19.8,0.152,6.208,1613477.944,1613478,,24.5,0.519,4.774,59365.252,59365,,35.4,2.755,0.944,8.782,0,,33.7,0,1.373,23.583,0,,40,0,-1.496,0.032,0,,29.9,0.834,3.108811012,1284.727476,1285
,A9,50,0,12,1,1.613,132.8,37.6,62.4,49,18.9,0.193,,27.5,0.042,2.352,,,224.967,225,,21.9,0.111,5.607,404121.669,404122,,26.2,0.024,4.233,17102.675,17103,,32.5,0.523,1.758,57.279,0,,37,0,0.368,2.336,0,,35.3,0,-0.07,0.851,0,,28.7,0.134,3.449911087,2817.805985,2818
,A10,50,4,8,0,6.897,1493.8,3.3,96.7,49.1,19.2,0.18,,14.2,0.424,5.804,,,636214.275,636214,,10.5,0.035,8.894,783100603.695,783100604,,13.3,0.002,8.198,157747560.898,157747561,,34.8,0.909,1.115,13.045,0,,34.9,0.745,1.018,10.432,0,,33.7,0,0.429,2.687,0,,40,0,0.176555716,1.501605037,0
