"","lab_ID","varroa","nosema","hygienic","honey","weight","NormGenomeCopy","yard","Fitness","overwinter_success","X2022_FOB","X2022_varroa","X2022_Nosema"
"13",51,1.4444444444,50000,0.931,150,165,3857847.496,"Allard",0.95299095562179,"alive","20",0.666666667,250000
"10",46,1.40000000006,130000,0.848,80,180,486865.0334,"Camisa",0.897194032504105,"alive","16",0,650000
"16",61,0.222222222216667,8333.33333333333,0.828,80,120,93137.53969,"Yandow",0.893262889663117,"alive","14",0,50000
"18",63,0.333333333333333,0,0.468,85,165,21805586.32,"Yandow",0.885328616998542,"alive","20",0,0
"8",44,0.44444444445,50000,0.623,80,145,515517.5038,"Camisa",0.877897654624662,"alive","17",0.666666667,200000
"12",48,0.6666666666,150000,0.659,80,155,11495341.34,"Camisa",0.875984958527361,"alive","22",0.333333333,800000
"4",40,1.33333333316667,916666.666666667,0.938,120,155,2424381.461,"Brigham",0.864816283259207,"alive","16",4.333333333,4650000
"11",47,0.777777777666667,3e+05,0.605,80,160,638845.4662,"Camisa",0.859175492891454,"alive","17",0,1750000
"20",66,1.00000000005,1e+05,0.466,98,145,396217.8493,"Yandow",0.851611915812623,"alive","12",0.333333333,350000
"30",83,0.833333333383333,491666.666666667,0.619,150,95,55926657.81,"Fortin",0.847660789987685,"alive","14",0,1850000
"2",37,0.444444444383333,858333.333333333,0.727,75,155,2288862.541,"Brigham",0.836767669376033,"alive","10",0.333333333,4750000
"15",60,1.11111111121667,733333.333333333,0.527,149,105,44037.74537,"Yandow",0.817811174077255,"alive","12",0,4350000
"9",45,1.55555555548333,1033333.33333333,0.763,115,145,60558.50229,"Camisa",0.81670409900826,"alive","12",0.333333333,5900000
"19",64,0.722222222216667,8333.33333333333,0.43,64,115,76101.68569,"Yandow",0.813268841085356,"alive","14",0.333333333,50000
"7",43,0.388888888883333,1116666.66666667,0.555,80,165,40809169.37,"Camisa",0.810507534618627,"alive","15",0.333333333,6700000
"3",38,0.444444444383333,1533333.33333333,0.907,80,145,831717.3153,"Brigham",0.806437204916405,"alive","10",0.666666667,9000000
"5",41,0.555555555616667,1433333.33333333,0.78,80,142.058823529412,348942.711,"Brigham",0.792385607239579,"alive","12",2.666666667,8050000
"17",62,1.94444444445,25000,0.269,88,125,70852.48625,"Yandow",0.780532822450491,"alive","15",6,150000
"27",79,1.44444444445,1025000,0.424,120,140,451734382.4,"Fortin",0.777616084285707,"alive","10",0,3850000
"21",68,2.111111111,1150000,0.607,120,110,285733085.9,"Ferland",0.747558315680674,"alive","16",0,5850000
"14",56,1.05555555561667,8333.33333333333,0.8,55,160,33677901759,"Allard",0.74606934010912,"alive ","Sticker on front - 8",1,0
"6",42,1.11111111116667,2316666.66666667,0.529,80,170,95784.75604,"Camisa",0.703202038409059,"alive","13",0,13750000
"24",74,0.722222222216667,1883333.33333333,0.872,120,100,20254847139,"Fortin",0.685531839228849,"alive","6",0,8900000
"1",35,0.499999999933333,2966666.66666667,0.426,115,155,827253.8816,"Brigham",0.677986795983885,"alive","9",2.333333333,17600000
"28",80,1.5,2558333.33333333,0.853,125,75,1134397.555,"Fortin",0.673419788057884,"alive","12",0,12000000
"26",78,1.16666666661667,1791666.66666667,0.548,89,115,11796783462,"Fortin",0.659720309457343,"alive","7",0,4350000
"23",72,2,3300000,0.68,135,160,249832297.7,"Ferland",0.656642107771456,"alive","7",0,15700000
"29",81,1.49999999983333,3283333.33333333,0.754,110,145,2093670.786,"Fortin",0.652684906160871,"alive","7",0,14850000
"22",71,3.66666666655,3008333.33333333,0.587,150,170,228761346.4,"Ferland",0.633702646493276,"alive","6",0,12150000
"25",75,1.05555555555,3700000,0.670921568627451,122,110,274711003.6,"Fortin",0.607348775059178,"alive","11",0.333333333,16150000
