Pesticide name,CAS #,Pesticide type,Mode of Action-short version,Mode of Action-Classification-site target,Survey inclusion (name),"Screened in a survey (N=0, Y=1)",Number of surveys screening (N),LD50 Oral Geometric mean (ug/bee),Oral LD50 Source,LD50 Contact Geometric mean (ug/bee),Contact LD50 Source,LOAEL Lowest sublethal significant dose of the publication per effect and exposure type (all Unit Measures),LOAEL Unit measure,"LOAEL Lowest sublethal significant dose per publication per effect and exposure type (μg bee-1, or ug bee-1 per day)",LOAEL Category (μg bee-1),SubTR (LOAEL/LD50),SubTR Category,Exposure type (oral vs contact),Exposure type (acute vs chronic),Exposure duration (h),Time (after exposure) of significant effect (h),Main feed type category,Subcategory of feed type,Feed type concentration provided (%),Bee type,Genus,Species,Species details,Sublethal effect main category,Sublethal effect sub-category,Sublethal effect-details,Original reference,Reference year,Review reference
1-Naphthol,90-15-3,Insecticide,NA,NA,"APHIS, Pacific North West, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,4 Dimethylaniline",95-68-1,Insecticide,NA,NA,"APHIS, Pacific North West, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,4-dichlorophenoxyacetic acid",94-75-7,Herbicide,HRAC O4,HRAC O4,None,0,0,94,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
"2,4-Dimethylphenyl-formamide (DMF)",60397-77-5,Insecticide,IRAC 19,IRAC 19,"Poshbee H2020, ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,4-Dimethylphenyl-N-methylformamidine (DMPF)",33089-74-6,Insecticide,IRAC 19,IRAC 19,"APHIS, Pacific North West, Poshbee H2020, ",1,3,,,,,1,µM,,,,,Oral,Chronic,240,,Carbohydrates,Sugar solution,50,,Apis,Apis mellifera,Apis mellifera,Physiological,Muscle activity,Increase of the heart rate ; Alteration of cardiac function (most likely through interaction with octopamine receptors),"O'Neal, S. T., C. C. Brewster, J. R. Bloomquist, and T. D. Anderson. 2017. ""Amitraz and its metabolite modulate honey bee cardiac function and tolerance to viral infection.""  Journal of Invertebrate Pathology 149:119-126. doi: 10.1016/j.jip.2017.08.005.",2017, 
"2,4,5-trichlorophenoxyacetic acid",93-76-5,Herbicide,NA,NA,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,6-Dichlorobenzamide (BAM)",2008-58-4,NA,NA,NA,"APHIS, ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Hydroxycarbofuran,16655-82-6,Insecticide,NA,NA,"APHIS, Pacific North West, ",1,2,,,,,,,,,,,,,,,,,,,,,,,, ,,,
4-Aminopyridine,504-24-5,Insecticide,NA,NA,"APHIS, ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,4 Dibromobenzophenone",3988-03-2.,Insecticide,NA,NA,"APHIS, Pacific North West, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abamectin,71751-41-2,Insecticide,IRAC 6,IRAC 6,"APHIS, ",1,1,0.011,PPDB,0.0022,OpenFoodTox,0.1,ppm,8.1324E-05,<0.0001,0.007393087,<0.01,Oral,Acute,,24,Carbohydrates,Sugar solution,50,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Effect on midgut cells; affects epithelial layer (cells merge); inside scoop of luminal average was more affectes, opaque and almost solid.","Aljedani, D. M. ""Effects of Abamectin and Deltamethrin to the Foragers Honeybee Workers of Apis Mellifera Jemenatica (Hymenoptera: Apidae) under Laboratory Conditions."" Saudi Journal of Biological Sciences 24, no. 5 (Jul 2017): 1007-15.",2017, 
Abamectin,71751-41-2,Insecticide,IRAC 6,IRAC 6,"APHIS, ",1,1,0.011,PPDB,0.0022,OpenFoodTox,,,,,,,Oral,Chronic,168,,,,,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,"Decrease of foraging bee workers, nectar collecting workers, workers gathering pollen and area of worker brood /colony","Abdel Razik, Maram. ""Toxicity and Side Effects of Some Insecticides Applied in Cotton Fields on Apis Mellifera."" Environ Sci Pollut Res Int 26, no. 5 (Feb 2019): 4987-96.",2019, 
Abamectin,71751-41-2,Insecticide,IRAC 6,IRAC 6,"APHIS, ",1,1,0.011,PPDB,0.0022,OpenFoodTox,18,ppm,,,,,Oral,Chronic,1848,,Carbohydrates and proteins,,,Adults,Bombus,Bombus terrestris,Bombus terrestris,Physiological,Reproduction,All reproduction eliminated,"Besard, L., V. Mommaerts, J. Vandeven, X. Cuvelier, G. Sterk, and G. Smagghe. ""Compatibility of Traditional and Novel Varroacides with Bumblebees (Bombus Terrestris): A First Laboratory Assessment of Toxicity and Sublethal Effects."" Pest Management Science 66, no. 7 (Jul 2010): 786-93.",2010, 
Abamectin,71751-41-2,Insecticide,IRAC 6,IRAC 6,"APHIS, ",1,1,0.011,PPDB,0.0022,OpenFoodTox,18,ppm,,,,,Contact,Acute,,,Carbohydrates and proteins,,,Adults,Bombus,Bombus terrestris,Bombus terrestris,Physiological,Reproduction,Total loss of reproduction- no drones were produced during the entire experiment,"Besard, L., V. Mommaerts, J. Vandeven, X. Cuvelier, G. Sterk, and G. Smagghe. ""Compatibility of Traditional and Novel Varroacides with Bumblebees (Bombus Terrestris): A First Laboratory Assessment of Toxicity and Sublethal Effects."" Pest Management Science 66, no. 7 (Jul 2010): 786-93.",2010, 
Acephate,30560-19-1 ,Insecticide,IRAC 1,IRAC 1B,"APHIS, Pacific North West, ",1,2,0.23,PPDB,1.78,PPDB,6.97,ppm,0.00566828,<0.01,0.024644694,<0.1,Oral,Chronic,72,6,Carbohydrates,Sugar solution,50,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Esterase activity was significantly suppressed,"Yao, J. X., Y. C. Zhu, J. Adamczyk, and R. Luttrell. ""Influences of Acephate and Mixtures with Other Commonly Used Pesticides on Honey Bee (Apis Mellifera) Survival and Detoxification Enzyme Activities."" Comparative Biochemistry and Physiology C-Toxicology & Pharmacology 209 (Jul 2018): 9-17.",2018, 
Acephate,30560-19-1 ,Insecticide,IRAC 1,IRAC 1B,"APHIS, Pacific North West, ",1,2,0.23,PPDB,1.78,PPDB,1,ppm,,,,,,,,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Reproduction,Reduction in surviving brood,"Stoner, A., Wilson, W.T. and Harvey, J. (1985). Acephate (Orthene): effects on honey bee queen, brood and worker survival. Amer. Bee J. IPS, 448±50.",1985,"Thompson, Helen M. ""Behavioural Effects of Pesticides in Bees - Their Potential for Use in Risk Assessment."" Ecotoxicology 12, no. 1/4 (Feb-Aug 2003): 317-30."
Acequinocyl,57960-19-7,Insecticide,IRAC 20,IRAC 20B,None,0,0,100,PPDB|OpenFoodTox|OpenFoodTox,100,PPDB,,,,,,,Oral,Chronic,,,Carbohydrates and proteins,,,Adults,Bombus,Bombus terrestris,Bombus terrestris,Physiological,Reproduction,,"Besard, L., V. Mommaerts, J. Vandeven, X. Cuvelier, G. Sterk, and G. Smagghe. ""Compatibility of Traditional and Novel Varroacides with Bumblebees (Bombus Terrestris): A First Laboratory Assessment of Toxicity and Sublethal Effects."" Pest Management Science 66, no. 7 (Jul 2010): 786-93.",2010, 
Acetamiprid,135410-20-7,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,6,14.53,PPDB,8.09,PPDB,0.6,ppm,0.000487944,<0.001,3.35818E-05,<0.0001,Oral,Chronic,24,24,Carbohydrates,Sugar solution,50,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Significant decrease of AChE activity, significant stimulation of PPO and Carboxylesterase, increase of GSI ","Badawy, Mohamed E. I., Hoda M. Nasr, and Entsar I. Rabea. ""Toxicity and Biochemical Changes in the Honey Bee Apis Mellifera Exposed to Four Insecticides under Laboratory Conditions."" Apidologie 46, no. 2 (2015): 177-93.",2015, 
