pesticide_name,Description,Type
Azoxystrobin,"An experimental compound used on cereals, vegetables, fruit crops, peanuts, turf, ornamentals, stone fruit, bananas, rice, apples, grapes, and potatoes. This chemical does not leach and is unlikely to contaminate water bodies. It is found to exhibit very low ecological risks to
aquatic life, birds, and mammals. Other names include Abound, Amistar, Bankit, Heritage, and Quadris.",Fungicide
Boscalid,"Fungicide used on specialty crops such as strawberries, beans, stone fruit, tree nuts, root vegetables, carrots, grapes, Brassica vegetables, and sunflowers (http://www.epa.gov/opp00001/chem_search/reg_actions/registration/fs_PC-128008_01-Jul-03.pdf).",Fungicide
Captan,"Captan is a nonsystemic phthalimide fungicide used to control diseases of many fruits, and ornamental and vegetable crops. It improves fruit finish by giving it a healthy, bright colored appearance. It is used in agricultural production as well as by the home gardener. A major use of captan is in apple production. Captan is not toxic to bees when used as directed. http://extoxnet.orst.edu/pips/captan.htm",Fungicide
Carbendazim (MBC),"Found to be acutely toxic to honeybees, having an effect on long term survival of colonies. Foods with Carbendazim residues include: strawberries, green beans, apple sauce, blueberries, sweet bell peppers, apples, cherries, green onions, spinach, bananas, honey, lettuce,
water, celery, cauliflower, celery, and broccoli.",Fungicide
Chlorothalonil,"General use insecticide used on trees, small fruits, turf, ornamentals, and vegetables. Found to be non-toxic to honey bees (http://pmep.cce.cornell.edu/profiles/extoxnet/carbaryl-dicrotophos/chlorothalonil-ext.html).",Fungicide
Cyprodinil,"Used as a foliar fungicide on cereals, grapes, pome fruit, stone fruit, strawberries, vegetables, field crops, and ornamentals; and as a seed dressing on barley.",Fungicide
Dicloran,"Widely used fungicide used on a variety of  ornamentals, fruit and vegetable crops such as pricots, snap beans, carrots, celery, cherries, cucumber, endive, fennel, garlic, grapes, lettuce, nectarines, onions, peaches, plums, potatoes, prunes, rhubarb, shallots, sweet potatoes, and tomatoes (http://www.epa.gov/oppsrrd1/REDs/factsheets/dcna_fs.htm).",Fungicide
Fenbuconazole,"Systemic fungicide intended for use as an agricultural and horticultural fungicide spray for the control of leaf spot, yellow and brown rust, powdery mildew, and net blotch on wheat, barley, and apple scab, pear scab, and apple powdery mildew on apples and pears. Residues are also found on cherries, apricots, plums, peaches, grapes, oranges, grapefruits, and numerous vegetables.",Fungicide
Fludioxonil,"A fungicide used to control fungal disease, making it a useful seed treatment as well as a post-harvest treatment for fruit such as apples, bilberries, blackberries, blackcurrants, blueberries, broad beans, combining peas, crab apples, cranberries, dwarf french beans, edible podded peas, forest nursery, gooseberries, ornamental plant production, pears, quinces, raspberries, redcurrants, runner beans, strawberries, vining
peas, and whitecurrants (http://www.agchemaccess.com/Fludioxonil).",Fungicide
Metalaxyl,"A fungicide used in mixtures as a foliar spray for tropical and subtropical crops, as a soil treatment for control of soil-borne pathogens, and as a seed treatment to control downy mildews. Its average half-life in soil is about 70 days. At pH's of 5 to 9 and temperatures of 20 to 30
degrees C, the half- life in water was greater than four weeks. Metalaxyl is non-toxic to honeybees.",Fungicide
Myclobutanil,"A fungicide registered for use on a wide range of food crops.  It is used heavily to control fungi affecting wine and table grapes, especially in California. California accounts for roughyl 50% or all myclobutanil use in the US. 60% of myclobutanil use in CA is applied to grapes. It also has
a number of other food crop and commercial or residential landscaping applications. Found to be non-toxic to honey bees.(http://toxipedia.org/display/toxipedia/Myclobutanil).",Fungicide
Pyraclostrobin,"Controls foliar fungal diseases. Residues are found on a variety of fruits including melons, apples, brassicaea family, sunflowers, beans, peppers, lettuces, kale, and cucumbers.",Fungicide
Pyrimethanil,"Scala Brand SC Fungicide for foliar use to control certain diseases on almonds, pistachios, bulb, tuberous, corn vegetables, grapes, stone fruits
(except cherries), pome fruits, potatoes, strawberries, and tomatoes (http://pmep.cce.cornell.edu/profiles/fung-nemat/febuconazole- sulfur/pyrimethanil/pyrimethanil_let_405.html).",Fungicide
Tebuconazole,A powder used to treat pathogenic and foliar plant fungi on food and feed crops.,Fungicide
Thiabendazole,"Fungicide used to control mold, rot, blight, and stain on fruits and vegetables. It is found to be non-toxic to honey bees.",Fungicide
Trifloxystrobin,"A long-term effective pesticide used to treat fungal turf infections such as brown patch, red thread, rust, anthracnose, fusarium patch, and dollar spot (http://www.rigbytaylor.com/Glossary+-+Trifloxystrobin.htm).",Fungicide
Pesticide,Description,Type
THPI,"Major metabolite of Captan, a fungicide. Used to control diseases on a number of fruits and vegetables as well as ornamental plants. It also improves the outward appearance of many fruits, making them brighter and healthier-looking. Captan is utilized by both home and
agricultural growers and is often applied during apple production. Captan is cited as Group B2, a probable human carcinogen by the EPA.",Fungicide
Vinclozolin,"General use fungicide used on raspberries, chicory, lettuce, kiwi, canola, snap beans, dry bulb onions, ornamentals, and turf (http://pmep.cce.cornell.edu/profiles/extoxnet/pyrethrins-ziram/vinclozolin-ext.html).",Fungicide
Alachlor,"Herbacide used to control the growth of annual grasses, broadleaf weeds in corn, soybeans, and peanuts. Found to be non-toxic to bees (http://pmep.cce.cornell.edu/profiles/extoxnet/24d-captan/alachlor-ext.html)",Herbicide
Atrazine,"A commonly used, effective, and inexpensive herbicide used to eliminate noxious weeds in major crops. It frequently contaminates groundwater and can cause male amphibians (frogs) to change gender. It is restricted in Europe.",Herbicide
Fluridone,"Herbicide used to control aquatic weeds in freshwater ponds whether floating, submerged, or emersed (http://ccetompkins.org/environment/invasive-species/fluridone-herbide-treatment-faq).",Herbicide
Metolachlor,"Applied to soil to control weeds in corn, soybeans, peanuts, grain sorghum, potatoes, pod crops, cotton, safflower, stone fruits, nut trees, highway right-of-ways, and woody ornamental fields. Rapid degradation in sunny soil.
(http://pmep.cce.cornell.edu/profiles/extoxnet/metiram-propoxur/metolachlor-ext.html).",Herbicide
Oxyfluorfen,"Herbicide used to control broadleaf and grassy weeds in fruit and vegetable crops as well as ornamentals. It is also used for weed control on patios and driveways. The largest agricultural markets in terms of total pounds active ingredient are wine grapes and almonds.  It does not
appear to have an effect on honey bees.",Herbicide
Pendimethalin,"Herbicide used to control annual grasses and certain broadleaf weeds. Usually used to protect crops such as wheat, corn, soybeans potatoes, cabbage, peas, carrots, and asparagus. Found to be not toxic to bees or mammals, but highly toxic to aquatic invertebrates and fish.",Herbicide
Propazine,Herbacide found to be non-toxic to honey bees. Applied to boradleaf weeds and annual grasses in sweet sorghum in the form of a spray or powder (http://pmep.cce.cornell.edu/profiles/extoxnet/metiram-propoxur/propazine-ext.html).,Herbicide
Tebuthiuron,"Herbicide used to control weeds in non-cropland areas, rangelands, rights-of-way, and industrial sites.  Weeds that are controlled by tebuthiuron include alfalfa, bluegrasses, chickweed, clover, dock, goldenrod, mullein, etc. If used correctly, it should not pose a threat to bees
(http://pmep.cce.cornell.edu/profiles/extoxnet/pyrethrins-ziram/tebuthiuron-ext.html).",Herbicide
Trifluralin,"Herbicide used on grass to control broadleaf weeds. Found on some fruit and vegetable crops, flowers, and shrubs such as cotton, alfalfa, sunflowers, and soybeans. Insoluble in water, but does not leave residues on crops so residues only occur in root tissues. Considered a pre- emergence herbicide",Herbicide
"2,4 Dimethylphenyl formamide (DMPF)",Amitraz is a non-systemic acaricide and insecticide. Amitraz is among many other purposes best known as an insecticide against mite- or tick- infestation of dogs.,Insecticide
Acephate,"General use insecticide commonly used to treat fruits, vegetables (e.g. potatoes and sugar beets), vine, hop cultivation, and in horticulture to protect from biting and sucking insects. Considered toxic to bees at 1.2 ug/bee (Kidd, H. and James, D. R., Eds. The Agrochemicals Handbook,
Third Edition. Royal Society of Chemistry Information Services, Cambridge, UK, 1991 (as updated).5-14).",Insecticide
Acetamiprid,"Contact neonicatinoid insecticide targeting sucking-type insects. Can be applied to soil or as a foliar spray on apples, cherries, letttuce, pears, peppers, house and garden plants, potatoes, plums and tomatoes (http://www.agchemaccess.com/Acetamiprid).",Insecticide
Aldicarb sulfone,"Active ingredient in pesticide, Temik. It is effective against thrips, aphids, spider mites, lygus, fleahoppers, and leafminers, but is primarily used as a nematicide in potato crops. Its weakness is its high level of solubility, which restricts its use in certain areas where the water table is
close to the surface.",Insecticide
Aldicarb sulfoxide,See above.,Insecticide
Pesticide,Description,Type
