Plate,Well,ID,target_name,Amp Score,Amp Status,Task,Cq,Cq_mean,Cq_standard Deviation,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
1,C5,21,ACTIN,1.403,Amp,UNKNOWN,17.102,16.998,0.147,236059.78,252944.56,23878.693,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,D5,21,ACTIN,1.401,Amp,UNKNOWN,16.894,16.998,0.147,269829.34,252944.56,23878.693,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,11,FALSE
1,A5,21,DWV,1.303,Amp,UNKNOWN,10.533,10.433,0.142,1.03E+07,1.11E+07,1012967.4,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,7,FALSE
1,B5,21,DWV,1.29,Amp,UNKNOWN,10.332,10.433,0.142,1.18E+07,1.11E+07,1012967.4,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,6,FALSE
1,G4,22,ACTIN,1.426,Amp,UNKNOWN,17.573,17.648,0.106,174269.02,166247.31,11344.388,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,11,FALSE
1,H4,22,ACTIN,1.422,Amp,UNKNOWN,17.723,17.648,0.106,158225.62,166247.31,11344.388,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,E4,22,DWV,1.284,Amp,UNKNOWN,12.299,12.365,0.094,3313513,3176988.8,193074.44,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,8,FALSE
1,F4,22,DWV,1.309,Amp,UNKNOWN,12.432,12.365,0.094,3040464.5,3176988.8,193074.44,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,8,FALSE
1,G5,24,ACTIN,1.424,Amp,UNKNOWN,17.694,17.751,0.081,161160.22,155431.36,8101.838,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,H5,24,ACTIN,1.423,Amp,UNKNOWN,17.809,17.751,0.081,149702.5,155431.36,8101.838,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,E5,24,DWV,1.278,Amp,UNKNOWN,16.808,16.274,0.755,180812.02,270366.16,126648.69,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,13,FALSE
1,F5,24,DWV,1.297,Amp,UNKNOWN,15.741,16.274,0.755,359920.3,270366.16,126648.69,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,11,FALSE
2,C3,25,ACTIN,1.474,Amp,UNKNOWN,16.742,16.743,0.002,297703.62,297450.62,357.801,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,D3,25,ACTIN,1.471,Amp,UNKNOWN,16.744,16.743,0.002,297197.62,297450.62,357.801,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,A3,25,DWV,1.381,Amp,UNKNOWN,16.262,16.102,0.226,257116.4,286531.72,41599.508,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,13,FALSE
2,B3,25,DWV,1.386,Amp,UNKNOWN,15.943,16.102,0.226,315947,286531.72,41599.508,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,13,FALSE
2,G1,26,ACTIN,1.459,Amp,UNKNOWN,16.163,16.286,0.173,432202.94,400711.53,44535.582,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,H1,26,ACTIN,1.445,Amp,UNKNOWN,16.408,16.286,0.173,369220.12,400711.53,44535.582,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,E1,26,DWV,1.366,Amp,UNKNOWN,13.131,13.162,0.044,1937235.6,1898992.2,54084.3,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,10,FALSE
2,F1,26,DWV,1.366,Amp,UNKNOWN,13.193,13.162,0.044,1860748.9,1898992.2,54084.3,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,10,FALSE
2,C6,27,ACTIN,1.486,Amp,UNKNOWN,17.279,17.219,0.085,210621.53,219118.11,12015.979,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,12,FALSE
2,D6,27,ACTIN,1.474,Amp,UNKNOWN,17.158,17.219,0.085,227614.69,219118.11,12015.979,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,12,FALSE
2,A6,27,DWV,1.394,Amp,UNKNOWN,13.619,12.788,1.175,1413977.1,2771854.5,1920328.6,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,10,FALSE
2,B6,27,DWV,1.385,Amp,UNKNOWN,11.957,12.788,1.175,4129732,2771854.5,1920328.6,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,9,FALSE
1,C6,28,ACTIN,1.397,Amp,UNKNOWN,17.429,17.295,0.19,191151.83,209247.23,25590.766,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,D6,28,ACTIN,1.399,Amp,UNKNOWN,17.16,17.295,0.19,227342.62,209247.23,25590.766,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,A6,28,DWV,1.274,Amp,UNKNOWN,14.393,14.353,0.057,858136.9,881207.06,32626.168,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,10,FALSE
1,B6,28,DWV,1.279,Amp,UNKNOWN,14.312,14.353,0.057,904277.25,881207.06,32626.168,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,10,FALSE
